title,score,class,league,max_speed,acceleration,handling,nitro,nitro_speed,air_speed,radius,drift,stars_symbol,bp_values,bp_total,key_car
Automobili Pininfarina Battista Edizione Nino Farina,4125,A,翡翠,365.4,89.37,64.44,45.9,380,504,,,★★★★★★,"40,45,45,48,50,52",280,FALSE
FV Frangivento GT65,4127,B,白金,371.1,81.8,51.98,54.39,386,514,57.212,195,★★★★★,"35,40,52,70",197,TRUE
Nissan GTR-50 Italdesign,4127,A,钻石,349.2,86.24,73.5,64.28,363,476,43.103,229,★★★★★,"40,33,38,43,48",202,FALSE
McLaren 570S Spider,4135,S,钻石,377.2,79.23,66.06,64.75,393,526,42.629,224,★★★★★★,"30,30,30,35,35,40",200,FALSE
Lamborghini Veneno,4142,S,钻石,370,81.16,62.42,78.82,387,516,48.453,215,★★★★★★,"30,30,30,35,35,40",200,FALSE
ATS Automobili GT,4161,S,翡翠,391.1,81.47,52.12,46.85,406,549,61.992,202,★★★★★★,"40, 45, 55, 48, 56, 56",300,FALSE
Pagani Zonda R,4164,A,白金,368.3,84.54,57.29,67.54,383,509,55.546,204,★★★★★★,"30,35,45,55,85",250,TRUE
Peugeot 9X8,4172,A,钻石,344.3,90.03,94.15,69.94,358,468,28.581,277,★★★★★★,"40,45,45,48,50,52",280,FALSE
McLaren Sabre,4173,A,翡翠,363.1,87.04,68.06,58.45,379,503,,,★★★★★★,"40,45,45,48,50,52",280,FALSE
Jaguar XJ220S TWR,4175,S,钻石,383,75.19,60.59,82.2,398,535,,,★★★★★★,"30,35,45,55,85",250,TRUE
Lamborghini Sesto Elemento,4183,B,翡翠,347.2,88.16,70.97,74.78,361,473,46.559,224,★★★★★★,"40,30,36,38,46,52",242,FALSE
Glickenhaus 007S,4192,A,钻石,358.6,89.33,82.63,55.24,373,493,41.397,254,★★★★★★,"30,35,45,55,85",250,TRUE
Nissan GT-R Neon Edition,4201,A,钻石,357,88.23,75.46,70.44,371,490,41.055,235,★★★★★★,"40,45,45,48,50,52",280,FALSE
Lamborghini Egoista,4213,S,钻石,366.1,84.48,61.54,72.02,381,506,50.682,212,★★★★★★,"60, 15, 18, 25, 38, 48",204,FALSE
Porsche 935(2019),4229,A,钻石,352,84.94,87.96,72.61,366,481,30.734,265,★★★★★★,"45,50,56,62,66",279,TRUE
Chrysler ME412,4241,S,精英,399.1,74.9,66.52,63.39,415,555,36.785,230,★★★★★★,"40, 45, 55, 48, 56, 56",300,FALSE
Aston Martin Victor,4251,A,钻石,371.8,78.34,76.86,69.6,387,517,39.732,244,★★★★★★,"40, 30, 35, 40, 50, 55",250,FALSE
Porsche 918 Spyder Asphalt Edition,4252,S,精英,401.6,76.24,59.93,51.87,417,556,,,,,,
Pagani Huayra R,4259,A,Platinum,376.4,83.04,58.21,64.11,391,523,,,★★★★★★,"40,30,35,40,50,55",250,FALSE
Ford GT MK IV,4262,B,翡翠,361.4,87.26,54.52,59.57,383,508,57.702,198,★★★★★★,"45,50,56,62,66",279,TRUE
LEGO Technic Lamborghini Revuelto,4264,B,翡翠,368.2,83.11,70.61,56.07,383,509,38.906,217,★★★★★★,"40,30,36,38,46,52",242,FALSE
Apollo EVO,4265,B,翡翠,355,85.46,70.34,65.79,369,487,45.87,225,★★★★★★,"40,30,36,38,46,52",242,FALSE
McLaren 650S GT3,4266,A,钻石,357,84.34,85.82,78.22,371,490,35.015,261,★★★★★★,"40,45,45,48,50,52",280,FALSE
Ferrari SF90 XX Stradale,4286,A,钻石,361.2,85.73,79.17,62.85,376,497,*45.020,*248,★★★★★★,"40,30,35,40,50,55",250,FALSE
Porsche 911 GT2 RS Clubsport,4289,S,钻石,357.2,83.75,85.71,73.93,371,490,38.963,260,★★★★★★,"30,35,45,55,85",250,TRUE
Pagani Huayra BC,4292,S,钻石,365.4,80.04,63.11,86.75,380,504,43.617,214,★★★★★★,"60, 15, 18, 25, 38, 48",204,FALSE
Ferrari LaFerrari Aperta,4293,S,钻石,366.3,81.11,82.68,70.32,381,506,36.763,256,★★★★★★,"30,30,30,35,35,40",200,FALSE
Ferrari 12 Cilindri,4294,B,翡翠,351.3,85.29,70.13,75.09,0,0,0,0,★★★★★★,,0,FALSE
McLaren F1LM,4301,S,钻石,377,74.64,66.56,73.08,392,525,35.268,224,★★★★★★,"30,35,45,55,85",250,TRUE
Zenvo TSR-S,4301,S,钻石,353.8,85.32,74.39,69,378,498,41.647,232,★★★★★★,"30,35,45,55,85",250,TRUE
神秘组织 拦路虎,4305,A,Platinum,361.1,83.2,78.8,45.56,376,498,,,★★★★★★,"40,?,?,?,?,?",?,FALSE
Lotus E-R9,4308,B,翡翠,367.5,87.44,72.33,49.35,382,508,44.133,232,★★★★★★,"28,36,48,58,72",242,TRUE
Pagani Utopia Coupe,4308,A,钻石,367.9,81.03,80.63,77.19,382,509,*43.220,*253.5,★★★★★★,"45,50,56,62,66",279,TRUE
Ferrari F8 Tributo,4313,S,精英,360.8,83.23,94.48,70.07,375,497,30.715,285,★★★★★★,"40, 30, 35, 40, 50, 55",250,FALSE
Genty Akylone,4323,S,钻石,371.7,82.93,67.81,70.35,386,515,46.687,225,★★★★★★,"60, 15, 18, 25, 38, 48",204,FALSE
Lamborghini SC20,4326,S,钻石,371.3,82.04,72.71,69.2,386,515,46.449,234,★★★★★★,"30,35,45,55,85",250,TRUE
Volkswagen W12 Coupe,4334,S,钻石,370.2,79.02,84.32,54.56,384,512,37.522,263,★★★★★★,"30,35,45,55,85",250,TRUE
Trion Nemesis,4344,S,宗师,450.7,79.98,48.49,44.79,475,582,41.328,208,★★★★★★,"60, 15, 18, 25, 38, 48",204,FALSE
Ford Shelby Super Snake,4350,A,钻石,363.4,85.44,75.98,59.74,378,501,,,★★★★★★,"45,50,56,62,66",279,TRUE
Lamborghini Temerario,4372,A,钻石,365.5,88.35,70.53,62.21,380,505,43.215,228,★★★★★★,"30,40,45,55,60,70",300,FALSE
Lamborghini Revuelto,4375,B,翡翠,361.5,86.36,76.33,54.22,376,498,42.863,239,★★★★★★,"40,30,36,38,46,52",242,FALSE
FV Frangivento Asfane,4377,A,钻石,373.9,82.03,69.13,67.63,389,519,43.301,228,★★★★★★,"45,50,56,62,66",279,TRUE
Spania GTA 2015 GTA Spano,4385,S,钻石,383.7,81.2,59.72,69.97,399,536,50.399,213,★★★★★★,"40, 45, 55, 48, 56, 56",300,FALSE
Ares Panther,4387,B,翡翠,368.6,83.84,70.82,49.07,0,0,0,0,★★★★★★,,0,FALSE
Zenvo Aurora Agil,4393,A,钻石,379.4,83.12,70.3,64.25,405,543,,,,,,
FV Frangivento Sorpasso GT3,4398,S,钻石,391.3,85.7,56.68,47.35,407,549,49.896,209,★★★★★★,"45,56,65,66,68",300,TRUE
Lamborghini Terzo Millennio,4400,S,钻石,394.3,82.77,52.84,69.29,410,551,53.032,203,★★★★★★,"60, 15, 18, 25, 38, 48",204,FALSE
McLaren Senna,4407,S,精英,358.3,82.91,101.81,78.25,373,492,25.905,301,★★★★★★,"30,30,30,35,35,40",200,FALSE
Bugatti Veyron 16.4 Grand Sport Vitesse,4411,S,精英,419.1,81.08,49.17,50.7,442,568,51.489,203,★★★★★★,"85, 25, 29, 38, 54, 69",300,FALSE
Lotus Evija,4432,S,翡翠,368.1,81.14,65.02,63.31,383,509,47.913,218,★★★★★★,"30,30,30,35,35,40",200,FALSE
Jaguar XJR-9,4438,A,钻石,400.7,72.45,59.33,84.95,416,556,43.788,214,★★★★★★,"40,45,45,48,50,52",280,FALSE
Vision 1789,4442,S,钻石,389.9,81.28,59.91,72.19,405,547,50.61,215,★★★★★★,"40, 45, 55, 48, 56, 56",300,FALSE
Noble M600 Speedster,4464,A,钻石,375.7,81.03,85.47,61.71,390,522,34.44,267,★★★★★★,"40, 30, 35, 40, 50, 55",250,FALSE
Pininfarina Teorema,4473,S,精英,422.9,77.14,55.74,51.7,445,569,42.318,216,★★★★★★,"35,40,45,50,60,70",300,FALSE
W Motors Fenyr Supersport,4479,S,钻石,416.9,82.19,43.24,68.6,438,566,54.783,191,★★★★★★,"60, 15, 18, 25, 38, 48",204,FALSE
Aston Martin Valkyrie,4487,S,精英,378.1,80.26,77.87,76.72,393,527,37.49,249.5,★★★★★★,"40, 45, 55, 48, 56, 56",300,FALSE
Rimac Concept_One,4490,S,钻石,368.7,86.45,84.35,54.75,383,510,*42.222,*263,★★★★★★,"40, 45, 55, 48, 56, 56",300,FALSE
Nio EP9 Anniversary Special Edition,4501,A,钻石,348.7,86.14,59.71,60.93,371,0,0,0,★★★★★★,,0,FALSE
Mercedes-Benz C11,4506,S,精英,414.7,79.49,56.98,58.2,435,565,,,,,,
Aston Martin Valhalla Concept Car,4515,A,钻石,376.9,82.25,81.76,59.55,392,524,33.951,258,★★★★★★,"50,15,18,24,38,45",190,FALSE
Zenvo TS1 GT Anniversary,4521,S,精英,418.2,81.29,46.66,63.43,443,568,45.12,199,★★★★★★,"30,13,21,32,46,58",200,FALSE
Rimac Concept S,4528,S,精英,376.3,84.53,79.09,69.86,391,523,32.362,251,★★★★★★,"40,45,55,48,56,56",300,FALSE
Ferrari SF90 Stradale,4550,S,精英,360.1,86.83,93.5,69.88,384,509,31.737,285,★★★★★★,"40,45,55,48,56,56",300,FALSE
Automobili Pininfarina Battista,4551,S,精英,368.3,88.48,80.42,78.22,382,509,37.494,251,★★★★★★,"60,25,35,46,58,76",300,FALSE
Techrules AT96 Dragon Boat Edition,4556,S,精英,366.4,87.23,75.05,72.62,381,506,,,★★★★★★,"38,48,58,68,88",300,TRUE
Naran Hyper Coupe,4564,S,精英,383.4,85.79,67.31,65.58,398,536,42.861,227,★★★★★★,"40, 45, 55, 48, 56, 56",300,FALSE
Pagani Imola,4564,S,精英,378.5,80.26,72.44,71.29,393,527,,,★★★★★★,"85, 25, 29, 38, 54, 69",300,FALSE
Lexus Electrified Sport Concept,4565,A,钻石,379.2,88.43,50.26,55.59,394,529,,,★★★★★★,"40,45,45,48,50,52",280,FALSE
Lamborghini Countach LPI 800-4,4571,S,精英,373.7,82.53,86.93,73.04,388,519,35.512,270,★★★★★★,"38,48,58,68,88",300,TRUE
Mercedes-Benz Mercedes-AMG One,4571,A,钻石,375.2,81.53,78.84,60.91,390,521,33.688,250,★★★★★★,"45,50,56,62,66",279,TRUE
Nio EP9,4571,S,精英,372.8,82.96,77.72,76.17,396,530,39.273,246,★★★★★★,"40, 30, 35, 40, 50, 55",250,FALSE
Ferrari 499P Modificata,4572,A,钻石,358.6,84.54,85.32,77.85,373,493,31.331,261,★★★★★★,"40,45,60,65,70",280,TRUE
Arash Imperium,4577,S,精英,397.5,84.85,60.77,56.61,413,565,45.66,219,★★★★★★,"45,56,65,66,68",300,TRUE
Hyundai N Vision 74,4579,S,精英,404.5,75.17,55.76,58.53,420,564,36.485,211,★★★★★★,"45,56,65,66,68",300,TRUE
De Tomaso P72,4586,A,钻石,375.6,82.74,75.24,71.18,396,531,40.762,241,★★★★★★,"45,50,56,62,66",279,TRUE
McLaren Speedtail,4590,S,宗师,416.7,81.11,56.63,74.19,438,566,38.417,216,★★★★★★,"40, 30, 35, 40, 50, 55",250,FALSE
Mercedes-Benz Vision One-Eleven,4600,A,钻石,381,83.93,76.35,57.95,396,531,39.324,246,★★★★★★,"38,48,57,66,72",281,TRUE
Faraday Future FFZERO1,4602,S,Diamond,423,86.06,42.83,51.7,445,569,66.571,193,★★★★★★,"60, 35, 40, 50, 55, 60",300,FALSE
Automobili Pininfarina B95,4606,A,Platinum,395.9,86.93,60.35,45.07,411,552,46.919,217,★★★★★★,"60, 35, 40, ?, ?, ?",?,FALSE
Bugatti Divo,4607,S,精英,389.5,85.66,61.5,74.02,405,546,44.324,216,★★★★★★,"40, 45, 55, 48, 56, 56",300,FALSE
Koenigsegg Regera,4616,S,宗师,457.1,80.88,48.75,52.48,481,585,44.745,210,★★★★★★,"60, 15, 18, 25, 38, 48",204,FALSE
Porsche GT3 RS 2023,4621,S,精英,360.6,87.44,91.48,71.56,375,496,31.053,273,★★★★★★,"38,48,58,68,88",300,TRUE
Porsche 919 Street,4628,A,钻石,374.4,87.83,85.29,62.21,387,516,,,,,,
Saleen S7 Twin Turbo,4629,S,精英,429.9,69.5,68.97,77.31,452,572,32.161,244,★★★★★★,"40, 45, 55, 48, 56, 56",300,FALSE
W Motors Lykan Hypersport Neon Edition,4636,S,精英,407.5,80.48,53.75,65.9,425,560,36.461,208,★★★★★★,"40, 45, 55, 48, 56, 56",300,FALSE
Pagani Codalunga,4647,S,精英,398.3,81.7,65.49,72.01,417,557,0,0,★★★★★★,,0,FALSE
Ultima RS,4650,S,宗师,418.2,81.41,63.54,63.28,440,567,34.151,229,★★★★★★,"38,48,58,68,88",300,TRUE
W Motors Fenyr Supersport CNY Edition,4653,S,精英,410.2,83,61.33,60.21,429,562,,,★★★★★★,"45,56,65,66,68",300,TRUE
Zenvo TSR-S Dragonboat Edition,4665,S,精英,368.9,84.53,81.08,71.56,394,525,,,,,,
Ford Mustang RTR Spec 5-FD,4693,S,精英,415,78.77,54.9,74.41,433,564,,,★★★★★★,"?,?,?,?,?,?",?,FALSE
Ajlani Drakuma,4702,S,精英,441,81.56,47.91,60.58,464,578,48.013,205,★★★★★★,"60, 35, 40, 50, 55, 60",300,FALSE
Ford Team Fordzilla P1,4709,S,精英,385.5,87.77,83.66,51.4,401,539,35.488,266,★★★★★★,"60, 35, 40, 50, 55, 60",300,FALSE
SSC Ultimate Aero TT,4720,S,宗师,419.4,79.67,50.01,51.45,458,574,48.167,205,★★★★★★,"35, 40, 45, 50, 60, 70",300,FALSE
Inferno Automobili Inferno,4725,S,宗师,412.9,83.02,54.86,76.59,433,564,47.567,212,★★★★★★,"85, 25, 29, 38, 54, 69",300,FALSE
Torino Design Super Sport,4741,S,精英,405.3,82.28,62.3,75.81,422,559,43.464,223,★★★★★★,"45,56,65,66,68",300,TRUE
Bugatti Chiron,4755,S,传奇,443.4,84.4,45.62,63.63,467,579,40.732,201,★★★★★★,"30, 30, 30, 35, 35, 40",200,FALSE
BXR Bailey Blade GT1,4759,S,宗师,449,80.51,46.84,70.64,473,582,43.634,204,★★★★★★,"40, 30, 35, 40, 50, 55",250,FALSE
LEGO Technic Bugatti Chiron Pur Sport,4764,S,精英,394.4,84.98,61.19,73.64,410,551,47.061,218,★★★★★,"?,?,?,?,?",?,FALSE
Tushek TS 900 Racer Pro,4782,S,精英,395,86.02,73.76,61.52,410,552,38.046,245,★★★★★★,"85, 25, 29, 38, 54, 69",300,FALSE
Mazzanti Evantra Millecavalli,4790,S,宗师,412.3,82.6,63.85,64.81,432,563,45.885,228,★★★★★★,"85, 25, 29, 38, 54, 69",300,FALSE
Porsche 917 Living Legend,4791,S,精英,382.6,86.69,77.65,67.68,,,,,,,,
Toroidion 1MW,4808,S,宗师,460.4,81.28,60.34,54.16,485,587,41.108,231,★★★★★★,"85, 25, 29, 38, 54, 69",300,FALSE
Bugatti Chiron Pur Sport,4821,S,精英,397.8,87.01,73.62,65.32,413,554,,,★★★★★★,"45,56,65,66,68",300,TRUE
Koenigsegg Jesko,4824,S,传奇,496.6,80.07,48.19,58.23,522,600,33.418,219,★★★★★★,"40,45,60,70,85",300,TRUE
Bugatti Centodieci,4843,S,宗师,402.7,86.51,62.58,77.09,418,557,42.462,223,★★★★★★,"40,45,60,70,85",300,TRUE
Lamborghini Sián FKP 37,4860,S,精英,374,82.06,92.32,81.15,399,534,30.876,286,★★★★★★,"40,45,60,70,85",300,TRUE
Aspark Owl,4861,S,宗师,414.8,89.34,51.72,51.29,435,565,44.927,206,★★★★★★,"85, 25, 29, 38, 54, 69",300,FALSE
Icona Vulcano Spyder,4868,S,宗师,430.7,83.6,55.64,51.99,454,573,,,,,,
Raesr Aglaia,4880,S,Legend,439.3,85.88,47.8,46.08,463,577,38.864,204,★★★★★★,"?,?,?,?,?",?,TRUE
Rimac Nevera,4897,S,宗师,421.6,87.71,51.33,56.51,444,569,37.929,207,★★★★★★,"40,45,60,70,85",300,TRUE
SSC Tuatara,4930,S,传奇,487,82.51,48.74,62.05,512,599,41.422,215,★★★★★★,"40, 45, 55, 48, 56, 56",300,FALSE
Koenigsegg Agera RS,4940,S,传奇,484.8,79.67,60.03,58.86,510,598,,,★★★★★★,"85, 40, 48, 50, 52, 55",330,FALSE
HTT Locus Plethore LC750,4955,S,精英,414.5,78.04,75.86,84.58,435,565,36.45,257,★★★★★★,"60, 35, 40, 50, 55, 60",300,FALSE
Hennessey Venom GT,4963,S,宗师,468.4,78.54,47.88,46.91,493,594,32.157,213,★★★★★★,"?,?,?,?,?",?,TRUE
Koenigsegg CCXR,4998,S,宗师,412.2,79.4,79.09,71.51,432,563,33.89,265,★★★★★★,"45,56,65,66,68",300,TRUE
Nilu27 Nilu,5003,S,宗师,429.9,81.96,54.04,67,452,572,,,,,,
Tushek Aeon E,5025,S,宗师,491.5,86.23,46.43,35.37,,,,,★★★★★★,,,TRUE
Ferrante Design Elytron,5050,S,宗师,462.4,85.24,56.39,47.19,477,585,0,0,★★★★★★,,0,FALSE
Bugatti LA Voiture Noire,5055,S,宗师,443.2,84.88,54.68,63.8,467,579,51.072,217,★★★★★★,"38,53,58,68,88",305,TRUE
Koenigsegg One:1,5076,S,宗师,454.8,83.18,59.7,43.83,479,584,35.311,229,★★★★★★,"?,?,?,?,?",?,TRUE
Deus Vayanne,5082,S,宗师,438.7,86.55,47.61,47.08,462,577,43.411,204,★★★★★★,"60, 35, 40, 50, 55, 60",300,FALSE
Koenigsegg Gemera,5092,S,宗师,413.1,88.58,66.06,48.36,433,564,35.027,233,★★★★★★,"38,48,58,68,88",300,TRUE
Bugatti Mistral,5096,S,宗师,431.7,84.4,60.79,65.81,455,574,39.407,227,★★★★★★,"38,48,58,68,88",300,TRUE
Zenvo Aurora Tur,5100,S,传奇,467.5,81.73,56.53,42.65,492,590,32.818,227,★★★★★★,"60, 35, 40, 50, 55, 60",300,FALSE
Hennessey Venom F5,5128,S,传奇,512.4,80.68,49.02,49.52,538,600,30.764/26.789,224/348,★★★★★★,"85, 25, 29, 38, 54, 69",300,FALSE
Koenigsegg CC850,5146,S,传奇,478.3,82.37,54.39,49.63,503,595,31.97,226,★★★★★★,"45,56,65,66,68",300,TRUE
Czinger 21C,5149,S,宗师,417.1,89.07,54.43,51.03,439,566,46.797,212,★★★★★★,"60, 35, 40, 50, 55, 60",300,FALSE
Mosler Super GT,5169,S,传奇,506.7,83.27,49.79,44.54,532,600,33.879/31.456,223/331,★★★★★★,"?,?,?,?,?,?",?,FALSE
Devel Sixteen,5254,R,传奇,556.5,81.37,56.37,38.45,559,600,32.711/16.002,249/556,★★★★★★,"60,65,68,72,75",340,TRUE
SSC Tuatara Striker,5337,R,传奇,477.7,80.65,63.37,55.62,502,595,32.335,242,★★★★★★,"60,65,68,72,75",340,TRUE
Mercedes-Benz Silver Lightning,5344,R,传奇,443.4,80.15,84.1,55.95,531,600,29.889,278,★★★★★★,"60,65,68,72,75",340,TRUE
Raesr Tartarus,5355,S,宗师,538.7,90.64,61.77,42.69,550,600,41.378,220,★★★★★★,"40, 45, 55, 48, 56, 56",300,FALSE
Bugatti Bolide,5385,R,传奇,497.1,84.28,55.58,34.66,522,600,28.399,234,★★★★★★,"60,65,68,72,75",340,TRUE
Bugatti Chiron Super Sport 300+,5602,R,传奇,510.1,83.26,64.82,44.58,536,600,34.008/35.223,254/315,★★★★★★,"60,65,68,72,75",340,TRUE
Rimac Nevera R,5611,R,传奇,453.1,89.07,76.53,48.88,478,585,30.075,268,★★★★★★,"60,65,68,72,75",340,TRUE
Hennessey Venom F5 Revolution,5656,R,传奇,535.4,82.77,55.58,50.2,554,600,24.19,250,★★★★★★,"60,65,68,72,75",340,TRUE
Koenigsegg Jesko Absolut,5664,R,传奇,548.1,82.27,50.53,52.89,559,600,33.29,232,★★★★★★,"60, 60, 62, 62, 65, 70",379,FALSE
Bugatti Tourbillon,5676,R,传奇,492.8,85.24,70.17,48.98,518,600,0,265,★★★★★★,,0,TRUE
